id,name,address,gender,dob,phone,adhaar_id,pan_id,degree,institute,adhaar_file,pan_file,degree_file,id_card_file,note_file
1,Dr. Neel Narain,"964, Chowdhury Path, Durgapur 736496",M,1981-07-22,9738273896,515733166321,LOWRS7982H,BAMS,Sandhu-Chadha Medical College,adhaar_1.png,pan_1.png,degree_1.pdf,id_1.png,note_1.png
2,Dr. Libni Manda,"09/08
Bali Marg
Hubli–Dharwad-072033",F,2001-06-23,+914998577963,645310491391,UOGFH8116S,MBBS,Seth Group Medical College,adhaar_2.png,pan_2.png,degree_2.pdf,id_2.png,note_2.png
3,Dr. Michael Subramaniam,"830
Sinha Circle
Bhiwani-435440",M,1971-01-27,+913780733048,044697589066,VANAT7030N,MBBS,"Zacharia, Narain and Hegde Medical College",adhaar_3.png,pan_3.png,degree_3.pdf,id_3.png,note_3.png
4,Dr. Kala Goda,"89, Pingle Marg
Siliguri 957455",F,2014-08-16,3785586642,185400103263,BDZYT0280H,BAMS,Bhardwaj Group Medical College,adhaar_4.png,pan_4.png,degree_4.pdf,id_4.png,note_4.png
5,Dr. Aarini Contractor,"052, Loyal Chowk, Bellary 982167",F,1918-02-01,9875142320,625284147820,YKYAI4396S,BAMS,Sandhu-Kannan Medical College,adhaar_5.png,pan_5.png,degree_5.pdf,id_5.png,note_5.png
6,Dr. Dhruv Varma,"79, Srinivasan Street
Gudivada-774444",M,1946-02-01,04926737128,518809985732,GJIHY7498X,MD,"Loyal, Nazareth and Saini Medical College",adhaar_6.png,pan_6.png,degree_6.pdf,id_6.png,note_6.png
7,Dr. Devika Sundaram,"545
Divan Nagar, Kishanganj-056556",F,1912-06-19,1384581148,596351056789,OWHCC7903A,MBBS,Mand-Varkey Medical College,adhaar_7.png,pan_7.png,degree_7.pdf,id_7.png,note_7.png
8,Dr. Samaksh Mahajan,"H.No. 42
Sathe Path
Chandigarh 163479",M,2024-11-12,0036216639,785332795598,TGODV3657S,MBBS,Kota-Badal Medical College,adhaar_8.png,pan_8.png,degree_8.pdf,id_8.png,note_8.png
9,Dr. Saanvi Khalsa,"37/81, Sathe Road
Jehanabad-812321",F,1923-06-02,6878407640,864908091159,OTWDJ4717I,BHMS,Karan-Biswas Medical College,adhaar_9.png,pan_9.png,degree_9.pdf,id_9.png,note_9.png
10,Dr. Samar Suri,"38/02, Padmanabhan
Surat 912751",M,1989-06-24,+916859349992,432633450963,KWRNF9115V,MD,"Mital, Sheth and Oak Medical College",adhaar_10.png,pan_10.png,degree_10.pdf,id_10.png,note_10.png
11,Dr. William Rout,"84
Pathak Marg, Machilipatnam 300020",M,2004-04-21,+912390780680,916589476631,THCLP8468W,MBBS,Mohanty-Muni Medical College,adhaar_11.png,pan_11.png,degree_11.pdf,id_11.png,note_11.png
12,Dr. Avni De,"22/97
Majumdar Zila
Nandyal 088827",F,1914-09-05,+917387679502,070635036144,JSAJW8698T,BAMS,Murthy-Bose Medical College,adhaar_12.png,pan_12.png,degree_12.pdf,id_12.png,note_12.png
13,Dr. Vanya Chatterjee,"H.No. 794
Radhakrishnan Zila, Raipur-255408",F,1923-06-16,+916633452659,629685280784,MXIIO5746U,MBBS,Kunda Inc Medical College,adhaar_13.png,pan_13.png,degree_13.pdf,id_13.png,note_13.png
14,Dr. Amol D’Alia,"18/86
Ranganathan Circle
Kishanganj 646676",M,1979-05-03,02679854050,584917866244,ZKPJI5174Y,MBBS,Lad PLC Medical College,adhaar_14.png,pan_14.png,degree_14.pdf,id_14.png,note_14.png
