id,npi,first_name,last_name,organization_name,license_number,license_state,specialty,last_verified
1,9900000001,John,Doe,Health First,1001,NY,General Practice,2025-01-10
2,9900000002,Jane,Smith,Wellness Center,1002,CA,Dermatology,2025-02-15
3,9900000003,Alice,Johnson,Unity Health,1003,TX,Radiology,2024-11-20
4,9900000004,Bob,Brown,City Clinic,1004,FL,Surgery,2025-03-01
5,9900000005,Charlie,Davis,Metro Med,1005,WA,General Practice,2024-12-05
6,9900000006,Sarah,Wilson,,1006,NV,Dermatology,2025-01-20
7,9900000007,Mike,Miller,Miller Family Practice,1007,IL,General Practice,2023-06-15
8,9900000008,Emily,Taylor,,1008,GA,Radiology,2024-08-10
9,9900000009,David,Anderson,Anderson Cardiology,1009,OH,Cardiology,2025-02-28
10,9900000010,Jessica,Thomas,,1010,PA,Surgery,2024-05-20
11,9900000011,Daniel,Martinez,,1011,MI,General Practice,2025-01-05
12,9900000012,Laura,Hernandez,,1012,NC,Dermatology,2024-10-15
13,9900000013,Kevin,Moore,,1013,VA,Radiology,2025-03-10
14,9900000014,Lisa,Martin,,1014,AZ,Cardiology,2024-12-01
15,9900000015,Mark,Jackson,,1015,MA,Surgery,2025-02-05
16,8800000001,Mismatch,Name,,2001,NY,General Practice,2024-01-01
17,8800000002,Typo,Doctor,,2002,CA,Dermatology,2023-11-15
18,8800000003,Wrong,Org,,2003,TX,Radiology,2024-05-01
19,8800000004,Expired,License,,2004,FL,Surgery,2022-01-01
20,8800000005,Outdated,Info,,2005,WA,General Practice,2023-08-20
21,8800000006,Clerical,Error,,2006,NV,Cardiology,2024-02-28
22,8800000007,Data,Entry,,2007,IL,Surgery,2024-09-10
23,1100000001,Malicious,Actor,Fraud Corp,3001,NJ,Surgery,2023-01-01
24,1100000002,Fake,Physician,Scam Med,3002,CO,General Practice,2023-06-01
25,1100000003,Excluded,Provider,Banned LLC,3003,OR,Radiology,2022-12-01
